postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
40100,Jyväskylä,25.758987249993183,62.24525917970403,31.0,10.0,0.0,41.0
40270,Jyväskylä,25.710913349592985,62.29963812702523,31.0,10.0,0.0,41.0
40320,Jyväskylä,25.79780722143176,62.29551848361054,31.0,10.0,0.0,41.0
40320,Jyväskylä,25.800800517946662,62.29371613789411,31.0,10.0,0.0,41.0
40520,Jyväskylä,25.796664379639008,62.218073499986325,31.0,10.0,0.0,41.0
51900,Juva,27.858696476199608,61.89732660124401,2.0,2.0,0.0,4.0
83900,Juuka,29.255011881281195,63.24092475662934,9.0,0.0,0.0,9.0
66300,Jurva,22.00042586580454,62.68712831388572,0.0,0.0,0.0,0.0
80100,Joensuu,29.76984532900901,62.62309262125286,24.0,12.0,0.0,36.0
80100,Joensuu,29.758923678045306,62.59879433344317,24.0,12.0,0.0,36.0
61600,Jalasjärvi,22.76149876685492,62.49798295819475,0.0,0.0,0.0,0.0
99800,Ivalo,27.538772471407885,68.6574122786577,0.0,0.0,0.0,0.0
61500,Isokyrö,22.290816024290688,62.99621928786563,0.0,0.0,0.0,0.0
